[I][44370.474195] pw.context   | [      pipewire.c:  578 pw_init()] version 1.2.7
[I][44370.518820] pw.conf      | [          conf.c:  415 conf_load()] 0x5560a5c990: loaded config '/usr/share/pipewire/client.conf' with 5 items
[I][44370.519002] pw.conf      | [          conf.c: 1143 pw_conf_section_for_each()] handle config '/usr/share/pipewire/client.conf' section 'context.properties'
[I][44370.519047] pw.context   | [       context.c:  395 pw_context_new()] 0x5560a5be70: parsed 1 context.properties items
[I][44370.519189] pw.context   | [       context.c:  276 setup_data_loops()] created data loop 'data-loop.0'
[I][44370.519223] pw.context   | [       context.c:  279 setup_data_loops()] created 1 data-loops
[I][44370.520376] pw.conf      | [          conf.c: 1143 pw_conf_section_for_each()] handle config '/usr/share/pipewire/client.conf' section 'context.spa-libs'
[I][44370.520527] pw.context   | [       context.c:  488 pw_context_new()] 0x5560a5be70: parsed 2 context.spa-libs items
[I][44370.520561] pw.conf      | [          conf.c: 1143 pw_conf_section_for_each()] handle config '/usr/share/pipewire/client.conf' section 'context.modules'
[I][44370.520599] pw.module    | [   impl-module.c:  156 pw_context_load_module()] 0x5560a5be70: name:libpipewire-module-protocol-native args:(null)
[I][44370.522176] pw.conf      | [          conf.c:  611 load_module()] 0x5560a5be70: loaded module libpipewire-module-protocol-native
[I][44370.522281] pw.module    | [   impl-module.c:  156 pw_context_load_module()] 0x5560a5be70: name:libpipewire-module-client-node args:(null)
[I][44370.522866] pw.conf      | [          conf.c:  611 load_module()] 0x5560a5be70: loaded module libpipewire-module-client-node
[I][44370.522938] pw.module    | [   impl-module.c:  156 pw_context_load_module()] 0x5560a5be70: name:libpipewire-module-client-device args:(null)
[I][44370.523204] pw.conf      | [          conf.c:  611 load_module()] 0x5560a5be70: loaded module libpipewire-module-client-device
[I][44370.523253] pw.module    | [   impl-module.c:  156 pw_context_load_module()] 0x5560a5be70: name:libpipewire-module-adapter args:(null)
[I][44370.523636] pw.conf      | [          conf.c:  611 load_module()] 0x5560a5be70: loaded module libpipewire-module-adapter
[I][44370.523700] pw.module    | [   impl-module.c:  156 pw_context_load_module()] 0x5560a5be70: name:libpipewire-module-metadata args:(null)
[I][44370.524149] pw.conf      | [          conf.c:  611 load_module()] 0x5560a5be70: loaded module libpipewire-module-metadata
[I][44370.524239] pw.module    | [   impl-module.c:  156 pw_context_load_module()] 0x5560a5be70: name:libpipewire-module-session-manager args:(null)
[I][44370.524634] pw.conf      | [          conf.c:  611 load_module()] 0x5560a5be70: loaded module libpipewire-module-session-manager
[I][44370.524687] pw.context   | [       context.c:  492 pw_context_new()] 0x5560a5be70: parsed 6 context.modules items
[I][44370.524720] pw.context   | [       context.c:  497 pw_context_new()] 0x5560a5be70: parsed 0 context.objects items
[I][44370.524750] pw.context   | [       context.c:  500 pw_context_new()] 0x5560a5be70: parsed 0 context.exec items
[I][44370.524791] pw.metadata  | [ impl-metadata.c:  186 impl_set_property()] 0x5560a677e0: add id:0 key:log.level type: value:0
[I][44370.524823] pw.metadata  | [ impl-metadata.c:  186 impl_set_property()] 0x5560a677e0: add id:0 key:clock.rate type: value:48000
[I][44370.524853] pw.metadata  | [ impl-metadata.c:  186 impl_set_property()] 0x5560a677e0: add id:0 key:clock.allowed-rates type: value:[ 48000 ]
[I][44370.524881] pw.metadata  | [ impl-metadata.c:  186 impl_set_property()] 0x5560a677e0: add id:0 key:clock.quantum type: value:1024
[I][44370.524909] pw.metadata  | [ impl-metadata.c:  186 impl_set_property()] 0x5560a677e0: add id:0 key:clock.min-quantum type: value:32
[I][44370.524936] pw.metadata  | [ impl-metadata.c:  186 impl_set_property()] 0x5560a677e0: add id:0 key:clock.max-quantum type: value:2048
[I][44370.524964] pw.metadata  | [ impl-metadata.c:  186 impl_set_property()] 0x5560a677e0: add id:0 key:clock.force-quantum type: value:0
[I][44370.525015] pw.metadata  | [ impl-metadata.c:  186 impl_set_property()] 0x5560a677e0: add id:0 key:clock.force-rate type: value:0
[I][44370.525055] pw.conf      | [          conf.c: 1143 pw_conf_section_for_each()] handle config '/usr/share/pipewire/client.conf' section 'filter.properties'
[I][44370.525353] mod.protocol-native | [  local-socket.c:   72 try_connect()] connecting to 'pipewire-0' runtime_dir:/run/user/1000
[I][44370.525473] pw.context   | [       context.c:  725 pw_context_acquire_loop()] 0x5560a5be70: looking for name:'(null)' class:'(null)'
[I][44370.525512] pw.context   | [       context.c:  291 data_loop_start()] starting data loop data-loop.0
[I][44370.525751] default      | [        thread.c:  142 impl_acquire_rt()] acquire_rt thread:0x7f89c4f180 prio:-1 not implemented
[I][44370.525868] spa.loop     | [          loop.c:  213 loop_create_queue()] 0x5560a64738 created queue 0x5560a8bdf0
[I][44370.525919] pw.context   | [       context.c:  701 acquire_data_loop()] 0x5560a5be70: using name:'data-loop.0' class:'data.rt' ref:1
[I][44370.526114] pw.node      | [     impl-node.c: 1207 check_properties()] 0x5560a8b310: sync group '(null)'->'group.sync.0'
